"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"PSMA6P2",1.07317450518251,0.271242144690657,0.561684511429606,0.482908357220477,0.629160807578172,0.775419809601675
"HSPA8P8",0.849693889068374,0.28292599087031,0.496351221246296,0.570011674716759,0.56866977975839,0.732137441930367
"CALM2P2",12.6614032954066,0.721303495908934,0.246205449051052,2.929681283209,0.00339309828576871,0.0184645067739189
"BTBD6P1",0.605513766825055,0.18919156473753,0.597289472064716,0.316750208376402,0.751433148074696,0.858996068227385
"ABHD17AP4",1.17304172664025,-0.440866631102854,0.36554493574806,-1.20605317702092,0.227796987148706,0.410742624852241
"LINC02587",1.35427397431662,-2.89446992348468,0.844419384881869,-3.42776347311071,0.000608575439799933,0.00473607953268961
"AL137847.1",13.0335748499074,-0.447101242663679,0.308413735532317,-1.44968006010494,0.147147758717442,0.306093890742772
"MED4-AS1",0.750022708572434,-0.39200229357802,0.660982343357634,-0.593060158894323,0.553140892368414,0.72076342755498
"RPL41",8509.96783717895,0.172130286739067,0.141765206413948,1.21419275641199,0.224674125929981,0.40702729543616
"AC026403.1",154.809253007438,0.268584484435162,0.250909866864658,1.0704420985566,0.284420358433255,0.473962009324622
"AGBL5-IT1",19.2448555034615,0.803674047088651,0.219549127829881,3.66056588351097,0.00025165883199042,0.00230915024062499
"VIM-AS1",92.3688653572834,0.0964785394788092,0.236221796416886,0.40842352798191,0.6829627629363,0.813109663201007
"KANSL1L-AS1",16.2609087388274,0.119046922608267,0.203691977461812,0.584445809264066,0.558920414270996,0.725084753345774
"ACTG1P2",0.605059012116607,-0.719401673034195,0.551133868161149,-1.3053120386785,0.191786616393414,0.367063720385861
"EIF4A1P10",22.1655774373013,0.360663806524507,0.151341410266592,2.38311382118872,0.0171668855762757,0.0643025160313416
"RPS7P4",8.73259607268166,0.429417801895158,0.22085631308665,1.94433111688631,0.0518555345806642,0.144971401364155
"CCDC26",4.8474527638341,-1.51489193943977,0.436541996105222,-3.47020894428364,0.000520053635310057,0.00416624538863758
"ACTBP1",1.33988425939452,-0.398178576782508,0.356155359617087,-1.11799125306047,0.263570729141761,0.450842342314586
"AC233976.1",0.869729624927905,1.05396910969971,0.705066683864038,1.49485025150182,0.1349535281792,0.288898047914802
"ANKRD10-IT1",105.099420349764,-0.274718951183548,0.186950906184217,-1.46947108623719,0.141705058632385,0.298465643376746
"EPHA1-AS1",2.36493913425087,-1.30958007766692,0.421040681122048,-3.11034096319853,0.00186871496171322,0.0115415478891191
"AC009229.2",2.11454904250371,-0.841437197592181,0.33632416573571,-2.50186362835848,0.0123541501717186,0.0499962480293962
"TCP1P1",1.83140055782247,-0.225946435160115,0.303467079321373,-0.744550070028639,0.456543761667033,0.639126351995952
"RUNX3-AS1",0.522231698138869,0.474583379049758,0.722388302430457,0.656964374219564,0.511203823986311,0.687348739261884
"NAP1L1P2",0.551348532336806,-0.319400624623736,0.842282543119913,-0.379208410803147,0.704533106278304,0.82776765505228
"AC114488.1",1.75351665840634,-1.79629950322997,0.524274062728627,-3.42626048269676,0.000611953211129643,0.00475338479649263
"RPL19P20",1.91758823584628,-1.01827274352344,0.343737347431284,-2.96235701803395,0.00305293565270418,0.0170239007880526
"AC233280.1",9.56948672973904,0.841418353838871,0.317244170055626,2.65227365310239,0.00799517137331516,0.0358618155119432
"AC006001.3",706.527698517384,-0.0875912500974601,0.100207612096096,-0.874097768275958,0.382065012766254,0.572723814687597
"ATP5PDP2",1.40711390798029,-0.17712693262223,0.394684937330207,-0.448780573741631,0.653589953738404,0.792588599282572
"AC069542.1",0.974133641832472,0.0579165071280204,0.451768053491922,0.128199651746858,0.897990975662089,0.946092124174774
"AL358473.1",1.34063155213552,-0.406858730395568,0.633983201666744,-0.641750016918328,0.521035507939206,0.69481241598595
"AC009495.1",0.639078061481247,0.0959458937344596,0.598688407887114,0.160260149470859,0.872676149192666,0.930361378195824
"AC087071.1",2.83448614445154,-0.40221356467853,0.500704459312986,-0.803295351574072,0.421804044064365,0.608727891330685
"AC103564.1",0.840950697587185,1.01199071798758,0.412668987969111,2.45230620058934,0.0141943817185219,0.0556582438703342
"PTGES3P3",51.8497719892869,-0.056040811357696,0.166918930106998,-0.335736703570846,0.737069425291871,0.849410382839546
"LINC00200",1.08780935074772,-1.60126242505111,0.639289882037356,-2.50475170973775,0.0122537379919055,0.0497303444800203
"SERPINH1P1",1.45391806565186,0.11096490840103,0.362229564130039,0.306338629944612,0.759346829630871,0.864104934706749
"AC044860.1",0.73129092443847,0.193102537351568,0.489669527354656,0.394352775829787,0.69332060407015,0.820107477890273
"LINC00242",18.7451782904063,0.824957937065742,0.286608680798173,2.87834246600043,0.00399770890893025,0.0209970831768827
"HNRNPA1P66",0.784531528563821,1.4059209947908,0.589769228286863,2.38384935557702,0.0171326140865313,0.0642083296350325
"KRT18P4",7.37752674035786,0.238046113135711,0.235647058685603,1.01018071035339,0.312408719216511,0.504403532839281
"AL356056.1",0.988543534495517,0.274264941257287,0.444909888978332,0.61645053987695,0.537597205907125,0.708949641197876
"LINC00582",0.56203347832651,-0.304256630845769,0.598386935170643,-0.508461353286404,0.611129835315021,0.763016762743096
"MT1P3",0.863037581079911,-1.14927287313086,0.672608229472129,-1.70868095686671,0.0875100634372959,0.212190491593119
"TTTY10",5.72872468077799,-0.465820447561942,0.935804739326244,-0.497775260143822,0.618642455278609,0.76820308654344
"HMGN1P37",7.36927039038691,0.460692498999177,0.193971278960551,2.37505522192732,0.0175463249032782,0.0653721625467003
"LINC00377",13.5877981969246,-1.54990672727333,0.637352423882676,-2.43178917847599,0.0150244495411546,0.0581119394742393
"HNRNPA1P8",8.15086218234071,-0.0595881863482759,0.205692709137968,-0.289695179756261,0.772049444275295,0.87191627326813
"ST13P13",1.23032660271071,-0.142914825484536,0.326304331283478,-0.437980166926986,0.66140066060404,0.798367233016999
"AL596223.1",0.795348019148797,-1.67983697330889,0.69698464535635,-2.41014918262658,0.0159459987233609,0.0607141966645183
"AC004691.1",0.785169270676656,-0.177018213603714,0.626918257093019,-0.282362511541036,0.77766555736003,0.875318716779838
"SNHG31",11.4753381784667,-0.437890098866607,0.309207944947259,-1.41616703588033,0.156726604773926,0.319883153982772
"AL157388.1",6.38044914348899,-1.24792853177499,0.352695712032805,-3.53825830368733,0.000402775833682869,0.00338903567922639
"REV3L-IT1",0.533993940352618,0.0120561793278339,0.567386845233805,0.0212486056543412,0.983047341316138,0.990744781806042
"AL031963.2",1.22180027050341,0.0602967502707879,0.451629329504648,0.13350937667605,0.893790549142948,0.943499666632284
"LINC02768",1.04597559821693,0.308237478516018,0.544936076755085,0.565639699157874,0.571638734886716,0.734069773355052
"TUBB8P1",1.20514704729877,-0.210612821249122,0.533279562282914,-0.394938857861925,0.692888011758361,0.81971348511554
"AL358876.1",1.27253398446514,-0.24272488235058,0.733828244443343,-0.330765249482462,0.740821811634663,0.851801608450367
"AC010737.1",3.62704956400634,-1.80955067205713,0.838515031399714,-2.15804201987469,0.0309245649553963,0.0995338630399035
"ORM1",82.4928261378076,-3.01835637305902,0.685332937733517,-4.40421903993278,1.06165633610465e-05,0.00016940494150696
"KRT8P12",495.704597351996,0.336501139927017,0.153985399867507,2.18527951491864,0.0288683584452731,0.0943495321646716
"AC008269.1",33.8196020894268,0.0609564727219529,0.177494871997293,0.343426669379398,0.731277498914568,0.845501879535264
"NUTF2P7",0.82532453136657,0.0261963413015178,0.512835053676769,0.0510814171412489,0.959260643632011,0.978418452147423
"ACAP2-IT1",4.96400630259511,-0.025233706971886,0.261867601054182,-0.0963605534640577,0.92323422006345,0.959457754087261
"RPL17P15",1.16776331175272,0.170966958789632,0.403038184242373,0.424195437241297,0.671423288132768,0.805307125217484
"GK-IT1",0.611600670590516,-0.716468204465592,0.712969877438426,-1.00490669681549,0.314941779480876,0.506979314429486
"AC046143.1",9.97577498978672,-0.181993591103161,0.28862851359251,-0.630546126014779,0.528337334052197,0.701285657308246
"SREK1IP1P1",0.640331942050023,0.83408970457723,0.544856050737976,1.53084416232049,0.125807912065233,0.274764413239837
"AC079305.2",16.5456887687449,-0.335538763150382,0.189302239875563,-1.77250286827534,0.0763111195978828,0.192339278723341
"MTCO2P12",288.007000575013,-0.874486188324352,0.319997484712233,-2.73279081899896,0.00628002027470845,0.0298423230533088
"HYI-AS1",2.21841586240877,1.18708512888437,0.487581699291276,2.4346384013384,0.0149066779365968,0.0577920976598265
"ACTG1P9",2.112579019999,-0.0277843312678682,0.302936413338792,-0.091716710320972,0.926923120435984,0.961389128821903
"LRRC3-DT",14.2135353308591,0.114650363132509,0.367532503803265,0.311946186925224,0.755081420529746,0.861510771599852
"DPY19L1P1",54.4448952208604,-0.0782554805620256,0.131277491265836,-0.596107373834246,0.551103498432809,0.719088156589814
"HMGN2P19",0.796018108765495,-0.512012876911183,0.510288311594485,-1.00337959008175,0.315677747836213,0.507740983657288
"AC090587.1",1.8475686835763,0.598626673614785,0.330806743252076,1.80959634537628,0.0703584070963486,0.181132081711437
"CICP3",0.784410668595174,-0.271820062174009,0.519290278345324,-0.523445312783711,0.6006643982036,0.755598645662482
"PRKAR1B-AS2",0.58947940570722,-1.57962414786938,0.72790111285872,-2.17010816437091,0.0299986528394702,0.0972028332245594
"CTNNA2-AS1",9.54963354106741,2.64606036295808,0.889066867682866,2.97622199087722,0.00291823537090347,0.0164032506774598
"LINC01715",9.35181063939705,-0.049984022123407,0.235903867811164,-0.211883012293033,0.832198303935447,0.908128303185063
"MICD",1.90791339908372,0.319739114460824,0.579809680489768,0.551455288208949,0.581321608994771,0.741217669544838
"HLA-DRB6",485.61977050278,-1.37798447230821,0.384808001476809,-3.58096626634531,0.000342325854896122,0.00296754457217238
"AL139246.4",1.69229000816189,1.60119583878377,0.605533799302296,2.6442716172552,0.00818669323935394,0.0364874262460047
"AL592148.1",1.72999748746273,-0.426761021869779,0.342897816633089,-1.24457200124557,0.213289117579259,0.394056064442414
"LINC00858",2.86095477390846,4.17324515855577,1.35942517109884,3.06986014918533,0.00214159026217851,0.012819471756898
"AL359853.1",2.5099724571121,0.149344163792113,0.431761160718824,0.345895317548884,0.729421387755333,0.84446908845572
"AL117328.1",1.0170564382265,-1.54444282965616,0.442084666369122,-3.49354534809089,0.000476652021860757,0.00386744253147303
"AC018638.1",34.1164841354605,-0.465517466438641,0.173707614186199,-2.67989096862299,0.00736461439102248,0.0336519268040758
"KCNQ1-AS1",1.14405707259902,1.89129314343803,0.70955480483221,2.66546450049798,0.00768820483196294,0.0347665338538826
"RALGAPA1P1",76.493369385666,0.0960124932987702,0.204547641219102,0.46938939372039,0.638791328195936,0.782719673585934
"AL512625.2",6.65335838226829,1.09466330486049,0.377192522626234,2.90213416013343,0.00370629776700085,0.0197737227044492
"AJ009632.2",571.312982823184,-1.50045408306283,0.38081827731318,-3.940078962725,8.14547935044799e-05,0.000919470861929638
"MED8-AS1",14.4947006585622,0.262253270747015,0.224333282857896,1.16903415938124,0.242389868900491,0.427418718841442
"LINC02069",0.573497675702682,-0.00754986864498787,0.485225152681891,-0.0155595162436633,0.987585803127476,0.993313559616921
"AC073850.1",4.70050796895199,-1.61900269384404,0.479627464070374,-3.37554209282412,0.000736704216087703,0.00551542349403054
"ST3GAL3-AS1",0.598518859966472,1.11746847104746,0.567586980084325,1.96880568134498,0.0489754096461987,0.139307643978094
"AC114495.2",4.01354669985145,-0.326716765245836,0.289964086772294,-1.12674907048887,0.259848589002105,0.446762083591716
"SPINK8",0.829786726967181,-0.955968149382891,0.750740799744584,-1.27336645311954,0.202888035742784,0.380747282021002
"RPS10P18",0.651178469503313,-0.100358554694075,0.499137419382786,-0.201063977167198,0.840648548812684,0.913483317390978
"RLIMP1",1.00561363684585,0.158928087985586,0.441954054594757,0.359603190271243,0.719143897484106,0.837247947922454
"ACTG1P11",0.751234232515813,-0.344460687539276,0.527698674344329,-0.652760191158851,0.513910891412898,0.689300817066473
"RPL39P18",1.47975712235438,0.328833133766939,0.382577565883377,0.859520168172065,0.3900535978895,0.579897398838561
"RGS17P1",1.01091247293877,-0.83470485552284,0.380736558972124,-2.19234227933429,0.028354801063805,0.0931997431718785
"PATL2",58.2367006712176,-1.21761259371406,0.322301670255842,-3.777866223118,0.000158177802298468,0.00157794689244157
"LINC02766",1.36687557171319,-1.74953785513767,0.512115595006482,-3.41629482131964,0.000634794804852553,0.00489503599810242
"ALG13-AS1",4.645150246855,-1.0087757764958,0.402058469422546,-2.50902755000946,0.0121064041888374,0.0492841633336042
"AC136489.1",0.819613874932971,0.782444124931675,0.452303181262227,1.72991072657976,0.0836462265165959,0.205299304560286
"AC005189.1",0.500578201115769,0.783288761824016,0.643619000919756,1.2170068949249,0.223601592526088,0.405947054522874
"AC105053.1",0.700210600803621,1.2126997035795,0.567590623984792,2.13657458797626,0.0326326083424521,0.103870726357332
"RPL21P37",4.87522904486269,-0.131612967686677,0.240525958714463,-0.547188205340113,0.584249438460323,0.743146104331794
"AL591866.1",1.75099629682907,-0.402944703583064,0.394865954762978,-1.02045947168308,0.307510600974113,0.498940038511769
"AC053503.1",2.93507758124392,-0.152139281942297,0.324832005325896,-0.468362967465781,0.639525046056843,0.783154951037759
"AC003986.1",3.26218795733549,-0.924025531009833,0.998446849258497,-0.9254629144216,0.354725165830887,0.545613244662434
