"","PROBEID","ID","p.value","statistic","logFC","avgExpr","logFCSE","sampleSize","pFDR"
"FRG1EP","242770_at","FRG1EP",0.12119700283947,-1.58931411856872,-0.116518983341912,2.606891444,0.0760026796072144,33,0.391702652222743
"ZNF408","219224_x_at","ZNF408",0.121206666047154,1.58927136219978,0.058672572261028,2.67931921706061,0.0382718124700724,33,0.391702652222743
"ZNF252P-AS1","1558790_s_at","ZNF252P-AS1",0.121214950505894,-1.58923470853735,-0.0995304984926468,2.35936749727273,0.064924721742621,33,0.391702652222743
"CACNA1B","235781_at","CACNA1B",0.121291993127709,1.58889394002536,0.152874056834559,2.17700359381818,0.0997426359002879,33,0.391803159590451
"YBX1","208628_s_at","YBX1",0.121305103931214,1.58883596701545,0.0805385112941179,4.22426666412121,0.0525492466459001,33,0.391803159590451
"LYVE1","219059_s_at","LYVE1",0.121306137116946,1.5888313987192,0.360076858849265,3.2555416569697,0.234941294146442,33,0.391803159590451
"ASIC2","206690_at","ASIC2",0.121335091110855,-1.5887033897215,-0.061090430801471,2.24861231063636,0.0398632152515365,33,0.391803159590451
"MAPT","203928_x_at","MAPT",0.121359389042659,-1.58859598497233,-0.184653298154411,2.48935488630303,0.120499589580839,33,0.391803159590451
"NBR1","201383_s_at","NBR1",0.121372324596286,-1.58853881278854,-0.0835616633161758,3.09185140390909,0.0545319722299218,33,0.391803159590451
"POLH","219380_x_at","POLH",0.121402693549638,1.5884046085259,0.060591786808823,2.4186910540303,0.0395452732194936,33,0.391803159590451
"EXOC5","225084_at","EXOC5",0.121405059085369,1.5883941560741,0.0695171900772071,3.63991047148485,0.0453707426398651,33,0.391803159590451
"HERC6","219352_at","HERC6",0.121414893410074,-1.58835070351255,-0.166343112025736,2.91436973724242,0.108567636059489,33,0.391803159590451
"PPP1R7","213465_s_at","PPP1R7",0.121512860014665,-1.58791799894123,-0.0702402947830891,3.4605950180303,0.0458564270544375,33,0.39205871796791
"PCDHB8","221319_at","PCDHB8",0.121538042466389,-1.58780681766127,-0.0687846820220588,2.12987128721212,0.0449092736280194,33,0.392079397113149
"PNPLA7","236135_at","PNPLA7",0.121578167712507,-1.58762970235791,-0.0530668005330872,2.06322191136364,0.0346509900675182,33,0.392130691451297
"RACGAP1|RACGAP1P1","222077_s_at","RACGAP1|RACGAP1P1",0.121605337654183,1.58750979966719,0.139398688654412,3.49553400154545,0.0910299349943895,33,0.392130691451297
"OPTN","202074_s_at","OPTN",0.121610269979892,-1.58748803534446,-0.106294263279413,3.6363444189697,0.06941308147566,33,0.392130691451297
"POLR2J4","240014_at","POLR2J4",0.121645792637832,-1.58733130976533,-0.0621616620698529,2.36273880678788,0.0405972853747507,33,0.392184683427158
"BANK1","222915_s_at","BANK1",0.121701724221138,-1.58708461595768,-0.131348163191176,2.4291533119697,0.0857957709476835,33,0.392304446729197
"ALKBH4","222228_s_at","ALKBH4",0.121783461018154,-1.58672427120332,-0.0581097509632365,2.69312965012121,0.0379655336202064,33,0.392418393169397
"C5orf34","229886_at","C5orf34",0.121786441024369,1.58671113728247,0.119447545742648,2.85680459254545,0.0780407294110209,33,0.392418393169397
"ANGEL2","221826_at","ANGEL2",0.121793441442376,1.58668028504471,0.096019715397059,2.67805227712121,0.0627354399569475,33,0.392418393169397
"LINC01145|LINC02591","235185_s_at","LINC01145|LINC02591",0.121834161653676,-1.58650085165435,-0.0514344511764704,2.14060082054545,0.0336090130796039,33,0.392444479186053
"ATG2A","213300_at","ATG2A",0.12184734638721,-1.58644276369072,-0.0778929617867639,3.02293673409091,0.0508997640069637,33,0.392444479186053
"MZT2A|MZT2B","213166_x_at","MZT2A|MZT2B",0.12185790986457,1.58639622789458,0.081236545937502,3.85741568378788,0.0530862123746626,33,0.392444479186053
"PPIG","225902_at","PPIG",0.121895240003965,-1.58623180201065,-0.0805686601985296,2.974314511,0.0526552219998579,33,0.392504176300155
"CIAPIN1","208968_s_at","CIAPIN1",0.121990298919295,-1.58581328710112,-0.0803287089301463,3.69818953369697,0.052512258067146,33,0.392749713724291
"GJB2","223278_at","GJB2",0.122064613235745,1.58548628959398,0.133147379136029,2.19339617078788,0.0870586825124,33,0.392928398185656
"TPTE2P3|TPTE2P2","1556876_s_at","TPTE2P3|TPTE2P2",0.122106011109087,-1.58530420133465,-0.100346609338235,2.16448033490909,0.065619369179028,33,0.393001085223189
"POR","208928_at","POR",0.122150909505015,1.58510677300141,0.10333383005147,3.89821920024242,0.067581210146329,33,0.393085014639789
"UTRN","225093_at","UTRN",0.122223648950406,1.58478704698841,0.0875143785551478,3.36578763927273,0.0572467003574144,33,0.3932584976628
"OXER1","1553222_at","OXER1",0.12228236276532,1.58452908383747,0.107160937617647,2.35726002687879,0.0701097226383635,33,0.39336987120023
"LOC100128653","236053_at","LOC100128653",0.122295933622365,-1.58446947373375,-0.0587924971727936,2.65249100693939,0.0384662623772259,33,0.39336987120023
"BCOR","223915_at","BCOR",0.122357914247822,1.58419729192265,0.090487220040441,2.62144274581818,0.0592133917955937,33,0.39349864552171
"CYP2A13","208327_at","CYP2A13",0.122380931629182,-1.58409624200905,-0.0711868333014705,2.46712820809091,0.0465864984986568,33,0.39349864552171
"CGAS","1559051_s_at","CGAS",0.122392492281974,-1.58404549478117,-0.105274749430148,2.18231736363636,0.0688967165401927,33,0.39349864552171
