"","PROBEID","ID","p.value","statistic","logFC","avgExpr","logFCSE","sampleSize","pFDR"
"CES5AP1","17123134","CES5AP1",0.593536457980987,-0.537544110274252,-0.0412016089090903,3.15280149004545,0.0787619069400624,44,0.813222030090832
"MIR4768","17101871","MIR4768",0.593597178345842,0.537455450651564,0.0413285117727269,2.15910073102273,0.0790175299858719,44,0.813255240545955
"LINC01799","16880868","LINC01799",0.593622862862967,-0.537417949210522,-0.0520648495000005,1.90343883688636,0.0995516826206792,44,0.813255240545955
"THOC3","17002972","THOC3",0.593673385968278,-0.53734418369212,-0.0811767946363631,3.73876539395455,0.155237092895148,44,0.813281871850569
"HNRNPA1L2|MRPS31P5","17121006","HNRNPA1L2|MRPS31P5",0.593722695648983,0.537272192679996,0.0642241784999991,6.46204073061364,0.122834496249415,44,0.813306838165445
"ADGRF3","16895498","ADGRF3",0.593824182999236,-0.53712403235688,-0.0417843877727284,4.16641355934091,0.0799384298851817,44,0.813358540869119
"ANO3-AS1","16736760","ANO3-AS1",0.593840319026751,0.537100476642219,0.0264916340909089,1.50042683390909,0.0506838229192787,44,0.813358540869119
"OVCH1","16762724","OVCH1",0.593858937282053,0.537073297694992,0.0495905758636366,2.69925788565909,0.0948815445356626,44,0.813358540869119
"KPNA3","16779119","KPNA3",0.593911083557582,0.536997176655856,0.0722628161818166,6.96596877163636,0.138279893099696,44,0.813358540869119
"ZNF197-AS1","16952734","ZNF197-AS1",0.593958256709374,-0.536928317905639,-0.0761041504090905,2.76970868497727,0.145649228124261,44,0.813358540869119
"CA3-AS1","17078745","CA3-AS1",0.594012874779192,-0.536848595022713,-0.0534937555909107,3.78455746820455,0.102392329375181,44,0.813358540869119
"BNIP3L","17067170","BNIP3L",0.594031120868502,0.536821963018557,0.0673030403636368,8.71970512627273,0.128831054808173,44,0.813358540869119
"TARDBPP3","16893087","TARDBPP3",0.594035030689541,0.536816256291468,0.0356959304090894,3.54413899470455,0.0683296509331477,44,0.813358540869119
"CAPN14","16896170","CAPN14",0.594040221581868,-0.536808679755792,-0.0396065304999991,2.39975244456818,0.0758164465679084,44,0.813358540869119
"CCL2","16833204","CCL2",0.594145272352345,0.536655356213045,0.211663566681817,6.38584222984091,0.405290847686935,44,0.813443301125673
"IFNGR1","17024144","IFNGR1",0.594164306979542,0.536627576193845,0.100206689454545,6.48774920481818,0.191884494752717,44,0.813443301125673
"NAV2-AS5","16736658","NAV2-AS5",0.594254167568463,0.536496435155353,0.032200996272727,2.61140461,0.0616763441212001,44,0.813500316785584
"GBA2","17093829","GBA2",0.594268137697709,0.536476048224454,0.0803579266818168,5.51329397029545,0.153919817872876,44,0.813500316785584
"BTG2-DT","16698226","BTG2-DT",0.594365036314585,0.536334648076816,0.0364887140454546,2.70638933447727,0.0699099286451587,44,0.813566980843308
"PINCR","17102819","PINCR",0.594415352068979,-0.536261228671775,-0.034285999545455,2.51929382090909,0.0656986689681436,44,0.813566980843308
"LINC01991","16962608","LINC01991",0.594417403619522,0.536258235166312,0.0434425104999998,2.68911578106818,0.0832447963188981,44,0.813566980843308
"ADRA1D","16916877","ADRA1D",0.594461649552576,-0.536193675213797,-0.041785569318181,4.40478148129545,0.0800793965296087,44,0.813566980843308
"USP31","16825012","USP31",0.594521921700285,-0.536105734805676,-0.0791988224999987,5.87796836693182,0.151804423405789,44,0.813566980843308
"MIR1279","16767362","MIR1279",0.594524449383008,-0.536102046868325,-0.0421950897272723,1.44284656463636,0.0808780374285392,44,0.813566980843308
"RPAP2","16667140","RPAP2",0.594548454589892,0.536067023182326,0.0664437765454551,6.07864321236364,0.127365373045068,44,0.813566980843308
"RBBP8","16851397","RBBP8",0.594575505360838,0.536027556807417,0.0900270643636372,5.67508897840909,0.172584634263961,44,0.813566980843308
"TIE1","16663457","TIE1",0.594604449559424,-0.535985328909696,-0.0477844849545468,4.44045124015909,0.091611535394071,44,0.813566980843308
"OR5B17","16738611","OR5B17",0.594627785302957,0.535951284127652,0.0587953637727279,2.71498588120455,0.112728549987011,44,0.813566980843308
"EVPL","16849047","EVPL",0.59470759926442,-0.535834847399185,-0.0283321199090913,4.81327079490909,0.0543330734006965,44,0.813608961550991
"OR4C5","16738268","OR4C5",0.594720661583194,0.535815792116681,0.0339320923181816,2.79584351715909,0.0650745667422969,44,0.813608961550991
"SMYD1","16882599","SMYD1",0.594780106685591,0.53572907622512,0.0305414630000005,2.47629750840909,0.0585815385736102,44,0.813637414774021
"PVR","16862996","PVR",0.594803655113236,0.535694725949785,0.0785094118181817,6.42275556381818,0.150598452038488,44,0.813637414774021
"OR10P1","16752183","OR10P1",0.594839200798667,-0.535642876396756,-0.0436648141818159,4.74343681704545,0.0837668988509978,44,0.813643499043095
"MIR2052HG","17070096","MIR2052HG",0.594923834169236,-0.5355194298198,-0.0789996874545462,2.80226402440909,0.151588513889802,44,0.81371672315353
"OR7G3","16868356","OR7G3",0.595062587795297,-0.535317061151384,-0.0429257316818186,2.09097598029545,0.0823991584761496,44,0.813863959596245
"RBFOX3","16849604","RBFOX3",0.595126131243608,0.535224392066578,0.0319299901818191,3.87557736286364,0.0613026208700838,44,0.81390832146034
"PEAK3","16866931","PEAK3",0.59518265171871,-0.535141968912643,-0.0508993683181815,4.61973608934091,0.0977371194716733,44,0.813943074407711
"STAT4","16906571","STAT4",0.595220794296224,-0.535086348120653,-0.0562705464090913,2.33582008588636,0.108062103325342,44,0.813952692309957
"RABGGTA","16791244","RABGGTA",0.5952626765924,-0.535025275881607,-0.0566072204090897,4.95537773229545,0.108721061859125,44,0.813967121163793
"RINL","16872073","RINL",0.59531138683299,-0.534954249769097,-0.0449097135454544,4.29346767586364,0.0862660271664659,44,0.813967121163793
"ZNF425","17064160","ZNF425",0.595324676295304,-0.534934872413325,-0.0663094325000007,4.32919766493182,0.127376864889024,44,0.813967121163793
"NXPE2","16731515","NXPE2",0.595424622087368,-0.534789148059381,-0.0590800355909091,2.29602814547727,0.113520505708524,44,0.814061232810467
"ISG20","16804490","ISG20",0.595481787230081,0.534705804528495,0.0666893480000006,4.35933752277273,0.128161543071191,44,0.814096848212344
"CACNA1C-AS2","16760005","CACNA1C-AS2",0.595581082565754,0.534561046536249,0.075927276227274,4.15880673711364,0.145954223527075,44,0.814190054038894
"C11orf21","16734424","C11orf21",0.595652387911962,-0.534457100849956,-0.0427509564090918,3.72589885597727,0.0821957075703287,44,0.814244988366174
"SNORA54","16734524","SNORA54",0.595735088615263,0.534336550877122,0.0709470137272725,2.78237550831818,0.136438014923532,44,0.814315493366581
"INO80","16807525","INO80",0.595888190352571,0.534113400550189,0.0482783828636366,5.49332673229545,0.0928828205596092,44,0.814457691554344
"LMO2","16737244","LMO2",0.595901375532213,-0.534094184023055,-0.0411693084090885,4.86982530765909,0.0792085161535035,44,0.814457691554344
"CPS1-IT1","16890400","CPS1-IT1",0.595997414690718,0.533954219345702,0.0499462046363646,2.39064310404545,0.0961201908322788,44,0.814506797663415
"PROCA1","16842774","PROCA1",0.595999565864015,-0.53395108440995,-0.0374303643181833,3.54584924243182,0.0720341998131448,44,0.814506797663415
"MON2","16753342","MON2",0.596161326437429,0.533715363669301,0.0753258297727255,7.52129684638636,0.145027504673245,44,0.814520396024533
"LTO1","16741365","LTO1",0.596182240240393,-0.533684889856836,-0.0612937832272729,3.69927077125,0.118017843881015,44,0.814520396024533
"CFL1","16740553","CFL1",0.596191554303707,-0.533671318359073,-0.0285052561363628,3.70153221570455,0.0548867151388097,44,0.814520396024533
"KASH5","16864084","KASH5",0.59619964700546,0.533659526585172,0.0417267674090929,3.66857602811364,0.0803464382459667,44,0.814520396024533
"ZNF692","16701657","ZNF692",0.596207463826165,-0.533648136865636,-0.0563824224090901,4.57097155652273,0.108568762657881,44,0.814520396024533
"LINC01661","16667914","LINC01661",0.596241781821011,0.533598133693328,0.0350470430909087,2.33757298013636,0.0674921457126592,44,0.814520396024533
