"","PROBEID","ID","p.value","statistic","logFC","avgExpr","logFCSE","sampleSize","pFDR"
"MANSC1","220945_x_at","MANSC1",0.0453194418799365,-2.07768106014219,-0.178549342786765,3.05411527190909,0.0890887071627521,33,0.294680702498
"WDR91","222799_at","WDR91",0.0453223321266186,-2.07765149909797,-0.117798578963235,2.35629084293939,0.0587774351830393,33,0.294680702498
"KCND2","207103_at","KCND2",0.0453224245163562,-2.07765055417584,-0.302955810764705,2.45324499106061,0.151164587772915,33,0.294680702498
"RARRES1","206392_s_at","RARRES1",0.0453244713032261,2.07762962096321,0.242480401952205,2.28510012327273,0.120990646208375,33,0.294680702498
"FBXW2","241736_at","FBXW2",0.0453316850362994,-2.07755585019844,-0.0675345605625002,2.16170589436364,0.0336989719552653,33,0.294680702498
"GALNTL6-AS1","1562595_at","GALNTL6-AS1",0.0453455200272767,-2.07741439648072,-0.050808397349265,2.06877992606061,0.0253545344530413,33,0.294680702498
"RANGAP1","212127_at","RANGAP1",0.0453485170135777,2.07738375926466,0.176075544867647,2.8558166319697,0.087866957849621,33,0.294680702498
"CIB3","1552751_a_at","CIB3",0.0453690810908118,2.07717358744017,0.0691378733308823,2.21324178457576,0.0345053555175611,33,0.29472263097406
"DCAF1","226481_at","DCAF1",0.0453843072563514,-2.07701802488985,-0.108596762580882,3.27953044409091,0.0542025719390557,33,0.294729868485354
"ZNF292","212368_at","ZNF292",0.0454777901576112,2.0760639350106,0.151101854555147,3.47464929687879,0.0754522772912985,33,0.295064853611029
"LINC01732","1561044_at","LINC01732",0.0454845452256525,2.07599505941927,0.0673236244485298,2.30228248151515,0.0336189739413825,33,0.295064853611029
"KRT6A","214580_x_at","KRT6A",0.0454909680855144,2.07592957941483,0.0895269752647061,2.09396686145455,0.0447079314267393,33,0.295064853611029
"ST20|ST20-MTHFS","210242_x_at","ST20|ST20-MTHFS",0.0454924026156338,-2.07591495572658,-0.10896769838603,2.69325533063636,0.0544166123269548,33,0.295064853611029
"SLA","203760_s_at","SLA",0.0455146443777005,-2.07568827373682,-0.217122667419118,2.4271852670303,0.108439202606794,33,0.295089873195788
"PLEKHO2","204436_at","PLEKHO2",0.0455245186227833,-2.07558766935631,-0.128195278058824,3.23288702227273,0.0640286327576358,33,0.295089873195788
"TMEM127","235659_at","TMEM127",0.0455595615244664,-2.07523078741179,-0.122337363878677,2.70246977957576,0.0611133369119756,33,0.295134633693695
"ZNF235","220350_at","ZNF235",0.0455635455454014,-2.07519022886199,-0.0965734004595586,2.35862719524242,0.0482439536214514,33,0.295134633693695
"PSMA2","201317_s_at","PSMA2",0.045573818226582,-2.07508566422399,-0.0911876611139726,3.98558112915152,0.0455557633193032,33,0.295134633693695
"TIMM23","218118_s_at","TIMM23",0.0455929957957995,2.07489051306438,0.0913058343382347,3.39519206515152,0.0456190908402179,33,0.295167302292397
"BCOR","223915_at","BCOR",0.04563219080767,2.07449188871642,0.115706284830883,2.62144274581818,0.0578213849267791,33,0.295224874169325
"KLRF1","220646_s_at","KLRF1",0.0456374994898323,-2.07443792108348,-0.0861145847463236,2.17835393187879,0.0430347763562326,33,0.295224874169325
"KCP","1556956_at","KCP",0.0456560380757952,-2.07424950262891,-0.068814920088236,2.35690763815152,0.0343925911310696,33,0.295224874169325
"LINC01085","240167_at","LINC01085",0.0456763525517424,-2.07404311204143,-0.155956691422794,2.22983860730303,0.07795240435107,33,0.295224874169325
"SLC12A8","219874_at","SLC12A8",0.0457021561674915,2.07378106940485,0.183068092669118,2.24558860093939,0.0915151577257825,33,0.295224874169325
"ELOVL2-AS1","237365_at","ELOVL2-AS1",0.0457054636867449,-2.0737474900714,-0.0526140028308832,2.22839343984848,0.0263019986957044,33,0.295224874169325
"AATK","205986_at","AATK",0.0457201182170548,2.07359873679865,0.153859558169119,2.78714265363636,0.0769206672346629,33,0.295224874169325
"LINC01364","237760_at","LINC01364",0.0457246170778867,2.07355307877035,0.0803124210772053,1.92800775709091,0.0401523383911275,33,0.295224874169325
"ARHGAP27","225618_at","ARHGAP27",0.0457291102675493,-2.07350748224176,-0.114551112525734,2.41336566875758,0.0572712927170661,33,0.295224874169325
"NSUN5|NSUN5P2|NSUN5P1","203802_x_at","NSUN5|NSUN5P2|NSUN5P1",0.0457686853108387,-2.0731060480088,-0.117877603474265,3.2621150230303,0.0589458263832061,33,0.295389058317944
"EXOC7","212026_s_at","EXOC7",0.0457996877198878,2.07279178455672,0.134693912650736,2.69561092412121,0.0673651950332726,33,0.295497830716669
"CDT1","209832_s_at","CDT1",0.0458163521594663,2.07262293873029,0.209753246264706,2.50893394312121,0.104913571583658,33,0.295514056470183
"H2AB2|H2AB1|H2AB3","214412_at","H2AB2|H2AB1|H2AB3",0.0459769095553445,2.07099891598314,0.0719162161948521,2.26495414142424,0.0359989836162488,33,0.29645809078832
"TOP1","208900_s_at","TOP1",0.0460131121615224,-2.07063341929447,-0.140641654169117,3.24898630863636,0.070413191308645,33,0.29659995293006
"CRACR2B","227429_at","CRACR2B",0.0460640037470738,-2.07012005200127,-0.124205865617647,2.35933492963636,0.0621999241653027,33,0.296686099071781
"ZNF266","214686_at","ZNF266",0.0460870300928045,2.06988793831391,0.117351082599266,3.49050971881818,0.0587737698623284,33,0.296686099071781
"SLC38A10","230448_at","SLC38A10",0.0461093899927236,-2.06966264020466,-0.154051639158087,2.62389318036364,0.0771631671603036,33,0.296686099071781
"LINC01864","1562786_at","LINC01864",0.0461154235774373,2.06960186232937,0.0665562553051475,1.98146094357576,0.0333384461294257,33,0.296686099071781
"TEK","206702_at","TEK",0.0461344205570737,-2.06941054644345,-0.165668989525735,2.5687253529697,0.0829923088253572,33,0.296686099071781
"PAG1","225622_at","PAG1",0.046138488173394,-2.0693695910606,-0.11943590613603,2.48157491630303,0.0598329102577823,33,0.296686099071781
"BTBD8","1569693_at","BTBD8",0.0461407336970965,-2.06934698304068,-0.0582545104485288,2.02614172230303,0.0291836440875604,33,0.296686099071781
"TMEM237","1553956_at","TMEM237",0.0461460685151121,2.0692932757646,0.159787032742646,3.10249014539394,0.0800502636999737,33,0.296686099071781
"LINC01214","239736_at","LINC01214",0.0461543277895244,-2.06921013784176,-0.0853975724264715,2.15828521742424,0.0427842781697944,33,0.296686099071781
"MEGF10","236517_at","MEGF10",0.0461847578837134,2.06890394110493,0.261838439930147,2.79305673524242,0.131200762570356,33,0.296754516921071
"ENG","201808_s_at","ENG",0.0462061776213129,-2.06868851563294,-0.0920628604338241,2.16983111633333,0.0461352249461053,33,0.296754516921071
"C11orf21","220560_at","C11orf21",0.0462075982297019,-2.06867423120366,-0.0868709175514706,2.28814167857576,0.043533700538978,33,0.296754516921071
"TTLL9","232357_at","TTLL9",0.0463212151177829,-2.0675330447617,-0.149886688919118,2.44697880372727,0.075154309312669,33,0.297312158280505
"PSG3","203399_x_at","PSG3",0.046322899834559,-2.06751614171576,-0.118412972705882,2.19996518469697,0.0593736374965436,33,0.297312158280505
"PLCB1","213222_at","PLCB1",0.0463609257979405,2.06713476452872,0.218049648827204,3.22761046890909,0.109352793560474,33,0.297464803468506
"CIDEC","219398_at","CIDEC",0.046417434146902,-2.06656852791424,-0.0990021060110289,2.54759862127273,0.0496635663911206,33,0.297735906682447
"HOXD8","231906_at","HOXD8",0.0464415323916879,2.06632723798724,0.145806571882352,3.21833625642424,0.0731511705710287,33,0.297799018729015
"GYG2","210964_s_at","GYG2",0.046491202954474,2.06583024556929,0.179861753819853,2.05040666106061,0.0902583674082105,33,0.297943700340413
"CLEC2B","209732_at","CLEC2B",0.0464992225715578,-2.06575004685583,-0.288568708161764,3.25905422951515,0.144815399080903,33,0.297943700340413
"TCEANC","1553815_a_at","TCEANC",0.0465114590456509,-2.06562770165745,-0.104025634772059,2.47064710675758,0.0522073448892098,33,0.297943700340413
"TEP1","205727_at","TEP1",0.0465214267100793,-2.06552806183775,-0.137411017121323,2.15982206039394,0.0689657932971206,33,0.297943700340413
"FNIP1","228250_at","FNIP1",0.0465354249705734,-2.0653881626206,-0.120640989867648,2.9217590550303,0.0605531150803552,33,0.297943700340413
"SNHG14","1559342_a_at","SNHG14",0.0466106056424921,-2.06463743585611,-0.0461293811985297,2.07496398975758,0.0231620562830235,33,0.29833358836759
"CMAHP","205518_s_at","CMAHP",0.0466741788767027,-2.06400344662172,-0.168505643808824,2.5158905360303,0.0846344769743346,33,0.298648966249981
