"","PROBEID","ID","p.value","statistic","logFC","avgExpr","logFCSE","sampleSize","pFDR"
"FTO","16819010","FTO",0.941949849813019,0.0734985725912023,0.0145631336249972,7.38487458919231,0.207404797914843,26,0.97977164150862
"MRGPRX3","16722544","MRGPRX3",0.941992416913402,-0.0734445768256426,-0.0111172398333341,2.30814487665385,0.158445573605523,26,0.97977696665165
"IGLV4-3","16927836","IGLV4-3",0.942046784594912,0.07337561251243,0.00996424619444358,5.01671090796154,0.142146306298855,26,0.979794564801291
"UBXN2A","16877637","UBXN2A",0.942119920025732,0.073282842256389,0.012814577930552,5.50095593,0.18303952101986,26,0.979831680548286
"LOC103171574|LOC102724034","16804188","LOC103171574|LOC102724034",0.942350243196682,0.0729906880002525,0.0112325099583312,2.19746971907692,0.161083932771529,26,0.979917051072326
"SNORD14A","16736224","SNORD14A",0.94247659363268,0.0728304210795285,0.0275450125277752,4.06609778669231,0.39588862408979,26,0.979917051072326
"LINC02447","16974107","LINC02447",0.942491219414877,0.0728118693964829,0.0105180903333322,3.35289724165385,0.151208980082177,26,0.979917051072326
"ANKRD39","16900628","ANKRD39",0.942494891137981,-0.0728072121013946,-0.0108204042222253,5.90282103157692,0.155565021271999,26,0.979917051072326
"CYP17A1","16717970","CYP17A1",0.942513232810981,0.0727839471407397,0.0441342126388822,11.7195104463462,0.634720679585131,26,0.979917051072326
"CASP12","16743837","CASP12",0.942518943080133,0.0727767041245635,0.00895641086111043,2.22952971511538,0.128820355534459,26,0.979917051072326
"LINC01496","17111012","LINC01496",0.942532041794154,0.0727600894765278,0.00857269237499736,3.975915581,0.123329475432145,26,0.979917051072326
"DTX1","16757391","DTX1",0.942566847189097,0.0727159417792285,0.0104222902222197,4.94606606430769,0.150029408947675,26,0.979917051072326
"ZNF431","16860168","ZNF431",0.942643367338984,0.0726188829628123,0.0168708219305529,6.27603910257692,0.243180947569158,26,0.979917051072326
"TP53TG5","16919574","TP53TG5",0.942664367162676,-0.0725922467298468,-0.0078041205972248,3.91201834534615,0.112532146520737,26,0.979917051072326
"STARD3","16833802","STARD3",0.942674363267625,-0.0725795676621494,-0.0149229660277825,6.66173451492308,0.215220503220651,26,0.979917051072326
"PRKCZ-AS1","16680568","PRKCZ-AS1",0.942679546363659,-0.0725729934236606,-0.00973414711111165,4.48566728542308,0.1403995570614,26,0.979917051072326
"HSD17B2","16821367","HSD17B2",0.94268889219884,0.0725611391754751,0.0184913882777753,3.78287132215385,0.26675237491814,26,0.979917051072326
"PCAT1","17072653","PCAT1",0.942925159470646,0.0722614615063765,0.0110935441805546,3.19639383265385,0.160696510179502,26,0.980112971050832
"TEX26-AS1","16777873","TEX26-AS1",0.942952289683976,-0.0722270504042344,-0.00678261265277857,2.05223763953846,0.0982969415483586,26,0.980112971050832
"PPP3CC","17066627","PPP3CC",0.943085252524881,-0.0720584058351334,-0.0108359978611139,5.34970476092308,0.15740811922748,26,0.980212233228498
"CNBD1","17070589","CNBD1",0.943140909658133,-0.0719878132599825,-0.00621127404166733,1.93344899192308,0.0903159757817815,26,0.980231141665821
"IGLON5","16864695","IGLON5",0.943342837728656,0.0717317014549749,0.00879424884722013,4.9827543865,0.128330677573018,26,0.980299345301928
"MAL2","17072125","MAL2",0.943397356286317,0.071662554668421,0.0195131628749987,3.34746671511538,0.285021914283382,26,0.980299345301928
"SLC6A6","16937943","SLC6A6",0.94341199436062,0.0716439890176765,0.0219277484583325,6.56148415119231,0.320373916965987,26,0.980299345301928
"ZMYND11","16701691","ZMYND11",0.943423479567216,-0.0716294222059776,-0.00982941613889121,6.89899386715385,0.143641239119207,26,0.980299345301928
"ACOT4","16786264","ACOT4",0.943483335154411,0.0715535069725848,0.0110491791111103,2.63835652330769,0.161637438166086,26,0.980299345301928
"STRA8","17051956","STRA8",0.943489254869047,0.071545998982967,0.00672690480555493,2.36376756180769,0.0984176065230535,26,0.980299345301928
"LINC02020","16949274","LINC02020",0.943612412810849,0.0713897983897057,0.00694268045833257,1.98535132603846,0.10179674480695,26,0.980299345301928
"LOC100996318|H2BP2","16692611","LOC100996318|H2BP2",0.943694254371346,0.0712860001523703,0.0122695392916654,3.84355719919231,0.180163527969949,26,0.980299345301928
"MICU1","16715331","MICU1",0.94371499060815,0.0712597008679383,0.01193246111111,6.75754156488462,0.175278602440341,26,0.980299345301928
"B3GNT7","16892122","B3GNT7",0.943746911295884,0.0712192167056903,0.0152111537638868,4.73383628511538,0.22356706876687,26,0.980299345301928
"NEGR1-IT1","16688521","NEGR1-IT1",0.943778373840286,0.0711793137129103,0.0066764569999993,2.08390977246154,0.0981827357333473,26,0.980299345301928
"OR2AG1","16721519","OR2AG1",0.943786369629786,0.0711691729138266,0.00782771911110913,2.79156012884615,0.11512938465489,26,0.980299345301928
"CAPS","16857402","CAPS",0.943796987101892,0.0711557071319119,0.0129602337777754,4.79470412096154,0.190654019406237,26,0.980299345301928
